hex 0x00 bin 00000000: 	JMP   0x1234 
hex 0x01 bin 00000001: 	NOP   0x1234 
hex 0x02 bin 00000010: 	JNC   0x1234 
hex 0x03 bin 00000011: 	JC    0x1234 
hex 0x04 bin 00000100: 	JNZ   0x1234 
hex 0x05 bin 00000101: 	JZ    0x1234 
hex 0x06 bin 00000110: 	JNS   0x1234 
hex 0x07 bin 00000111: 	JS    0x1234 
hex 0x08 bin 00001000: 	JMP   +0x34 
hex 0x09 bin 00001001: 	NOP   $0x34 
hex 0x0A bin 00001010: 	JNC   +0x34 
hex 0x0B bin 00001011: 	JC    +0x34 
hex 0x0C bin 00001100: 	JNZ   +0x34 
hex 0x0D bin 00001101: 	JZ    +0x34 
hex 0x0E bin 00001110: 	JNS   +0x34 
hex 0x0F bin 00001111: 	JS    +0x34 
hex 0x10 bin 00010000: 	LD    [0x1234], A
hex 0x11 bin 00010001: 	LD    [0x1234], B
hex 0x12 bin 00010010: 	LD    [0x1234], C
hex 0x13 bin 00010011: 	LD    [0x1234], D
hex 0x14 bin 00010100: 	ST    A, [0x1234]
hex 0x15 bin 00010101: 	ST    B, [0x1234]
hex 0x16 bin 00010110: 	ST    C, [0x1234]
hex 0x17 bin 00010111: 	ST    D, [0x1234]
hex 0x18 bin 00011000: 	LD    [0x34], A
hex 0x19 bin 00011001: 	LD    [0x34], B
hex 0x1A bin 00011010: 	LD    [0x34], C
hex 0x1B bin 00011011: 	LD    [0x34], D
hex 0x1C bin 00011100: 	ST    A, [0x34]
hex 0x1D bin 00011101: 	ST    B, [0x34]
hex 0x1E bin 00011110: 	ST    C, [0x34]
hex 0x1F bin 00011111: 	ST    D, [0x34]
hex 0x20 bin 00100000: 	CMP   $0x34, A
hex 0x21 bin 00100001: 	CMP   $0x34, B
hex 0x22 bin 00100010: 	CMP   $0x34, C
hex 0x23 bin 00100011: 	CMP   $0x34, D
hex 0x24 bin 00100100: 	SUB   $0x34, A
hex 0x25 bin 00100101: 	SUB   $0x34, B
hex 0x26 bin 00100110: 	SUB   $0x34, C
hex 0x27 bin 00100111: 	SUB   $0x34, D
hex 0x28 bin 00101000: 	SBC   $0x34, A
hex 0x29 bin 00101001: 	SBC   $0x34, B
hex 0x2A bin 00101010: 	SBC   $0x34, C
hex 0x2B bin 00101011: 	SBC   $0x34, D
hex 0x2C bin 00101100: 	ADC   $0x34, A
hex 0x2D bin 00101101: 	ADC   $0x34, B
hex 0x2E bin 00101110: 	ADC   $0x34, C
hex 0x2F bin 00101111: 	ADC   $0x34, D
hex 0x30 bin 00110000: 	ADD   $0x34, A
hex 0x31 bin 00110001: 	ADD   $0x34, B
hex 0x32 bin 00110010: 	ADD   $0x34, C
hex 0x33 bin 00110011: 	ADD   $0x34, D
hex 0x34 bin 00110100: 	XOR   $0x34, A
hex 0x35 bin 00110101: 	XOR   $0x34, B
hex 0x36 bin 00110110: 	XOR   $0x34, C
hex 0x37 bin 00110111: 	XOR   $0x34, D
hex 0x38 bin 00111000: 	AND   $0x34, A
hex 0x39 bin 00111001: 	AND   $0x34, B
hex 0x3A bin 00111010: 	AND   $0x34, C
hex 0x3B bin 00111011: 	AND   $0x34, D
hex 0x3C bin 00111100: 	OR    $0x34, A
hex 0x3D bin 00111101: 	OR    $0x34, B
hex 0x3E bin 00111110: 	OR    $0x34, C
hex 0x3F bin 00111111: 	OR    $0x34, D
hex 0x40 bin 01000000: 	MOV   $0x34, A
hex 0x41 bin 01000001: 	MOV   $0x34, B
hex 0x42 bin 01000010: 	MOV   $0x34, C
hex 0x43 bin 01000011: 	MOV   $0x34, D
hex 0x44 bin 01000100: 	...    
hex 0x45 bin 01000101: 	...    
hex 0x46 bin 01000110: 	...    
hex 0x47 bin 01000111: 	...    
hex 0x48 bin 01001000: 	...    
hex 0x49 bin 01001001: 	...    
hex 0x4A bin 01001010: 	...    
hex 0x4B bin 01001011: 	...    
hex 0x4C bin 01001100: 	...    
hex 0x4D bin 01001101: 	...    
hex 0x4E bin 01001110: 	...    
hex 0x4F bin 01001111: 	...    
